Elitism,Avg,StdDev,Min,Max
2,81.20,30.66,35,119
3,66.80,27.85,34,101
4,109.20,66.35,36,231
5,82.00,52.58,25,176
6,101.30,56.18,43,216
7,75.80,24.93,28,110
8,92.20,33.82,50,137
9,63.10,28.73,33,128
10,73.70,37.69,29,138
11,90.70,47.50,37,214
12,110.90,83.68,41,310
13,71.00,30.95,24,140
14,79.90,37.56,36,153
15,86.10,35.54,26,134
16,94.90,42.24,42,172
17,116.40,59.07,39,248
18,80.70,39.16,28,137
19,76.30,25.31,51,138
20,97.90,45.91,45,198
21,84.20,47.34,23,159
22,96.00,49.91,48,187
23,90.80,38.14,52,158
24,70.70,48.58,29,200
25,90.00,48.73,41,195
26,100.20,54.10,36,203
27,93.70,58.70,26,192
28,95.10,36.68,43,174
29,92.30,60.05,34,219
30,103.00,57.00,41,186
31,57.80,26.63,32,119
32,119.30,63.19,50,237
33,82.60,41.61,33,165
34,104.70,50.38,44,206
35,78.00,25.88,35,125
36,82.20,55.25,32,219
37,88.20,84.42,27,313
38,143.00,59.07,67,239
39,123.30,78.89,48,300
40,102.70,57.02,51,204
41,82.10,40.56,28,146
42,115.70,40.87,72,196
43,123.10,21.20,95,166
44,119.40,73.93,49,255
45,105.60,54.89,59,232
46,128.40,62.72,48,245
47,120.40,49.19,73,230
48,121.60,129.87,41,476
49,164.90,88.16,61,304
50,130.30,74.46,51,262
51,126.30,46.62,62,205
52,154.80,63.91,58,271
53,98.80,22.97,64,139
54,137.70,63.12,40,208
55,237.30,149.33,99,572
56,123.00,43.55,46,193
57,171.00,107.22,50,401
58,172.00,87.01,54,323
59,180.10,71.87,61,271
60,221.00,201.73,69,742
61,164.80,120.20,62,480
62,110.80,55.95,50,218
63,169.50,96.45,89,423
64,266.30,104.63,99,402
65,180.90,68.27,84,291
66,163.30,64.42,83,268
67,202.70,82.32,104,354
68,263.30,138.06,97,517
69,238.70,91.19,99,390
70,269.90,135.80,106,539
71,248.80,81.61,91,355
72,289.90,126.80,78,461
73,276.00,109.26,79,453
74,337.70,266.72,102,857
75,192.40,76.61,117,368
